Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2021,"12        ",Female,17,Right-Handed,160.2,21,160,1,Car,10,0.979,64,Running/Jogging,1000,1000,1000,1000,200,500,22,"Left foot",77,78,"Ring finger",August,Summer,No,No,Meat,Water,"Mathematics and statistics",7,10,6,"Yes - broadband connection","In person",75,70,14,5,14,5,12,0,2,2,3,2,0,2,"A lot","Graduate degree",Pop,Invisibility,Happy,Friend,"Education/Youth development"
USA,TX,2019,"12        ",Female,16,Right-Handed,157.8,26,155,1,Car,"5,20",.66,32,Dancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2021,"12        ",Male,17,Right-Handed,180,27.94,180,1,Car,5,0.372,41,Running/Jogging,990,1000,550,500,50,100,27,"Same length",80,70,"Same length",November,Winter,No,No,Breads/Sandwiches,Water,"Physical education",5,8,5,"Yes - other","Text messaging",24,37,2,1,0,2,0,3,1,1,1,5,20,1,"Very little",Other,"Rhythm and blues (R&B)","Freeze time",Happy,"Business person",Environment
USA,TX,2013,"5         ",Female,11,Right-Handed,132,21,132,2,Bus,5,0.509,35,Other,1000,1000,1000,1000,0,0,21,"Same length",60,70,"Ring finger",February,Summer,No,No,Other,"Soft drink (non-caffeinated)",Art,10,12,7,"Yes - other","In person",0,0,2,0,1,4,2,0,1,0,1,3,0,0,"Very little",Other,Other,,,Relative,"Wildlife, animals"
USA,TX,2012,"11        ",Male,16,Right-Handed,165,25,169.5,2,Bus,5,.28,40,None,500,500,500,700,1000,1000,24.5,"Left foot",75,80,"Ring finger",December,Winter,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",5,3,4,"Yes - broadband connection","In person",400,400,15,50,15,10,2,2,0,24,0,3,5,25,"A lot","Graduate degree","Rock and roll",Telepathy,Happy,Other,"Arts, culture, sports"
USA,TX,2021,"12        ",Male,17,Right-Handed,175.2,,,1,Car,5,0.731,32,Running/Jogging,1000,300,500,600,300,400,,"Same length",8,8.3,"Index finger",October,Summer,Yes,Yes,Salads,Water,English,6,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,30,0,0,5,3,4,0,1,0,0,1,18,6,Some,"Undergraduate degree",Other,"Freeze time",Happy,Teacher,Environment
USA,TX,2014,"12        ",Female,17,Right-Handed,163,24,57,1,Car,20,.855,56,Swimming,536,300,255,50,200,300,24,"Same length",71,89,"Ring finger",September,Spring,No,No,Fruit,Tea,History,7,10,3,"Yes - broadband connection","Text messaging",1000,1500,20,4,10,10,3,3,5,2,2,7,8,4,Some,"Undergraduate degree","Rap/Hip hop",Fly,Happy,Relative,"International aid"
USA,TX,2012,"11        ",Male,16,Right-Handed,172.5,23,172.5,1,Car,10,.337,,"Football (American)",650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2018,"12        ",Male,18,Right-Handed,180,24,180,2,Car,20,.452,53,Athletics,900,900,900,900,900,900,21,"Same length",80,90,"Ring finger",October,Summer,No,No,Seafood,Water,Music,9,10,4,"Yes - broadband connection","In person",10,13,5,0,10,20,16,12,15,5,15,12,0,5,"A lot","High school","Rhythm and blues (R&B)",Fly,Happy,Relative,"International aid"
USA,TX,2023,"12        ",Female,17,Right-Handed,"5,3",24,,2,Car,20,0.855,42,Running/Jogging,1000,1000,1000,1000,500,500,24cm,"Right foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
