Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
TX,Female,Right-Handed,Running/Jogging,1000.0,August,Water,Mathematics and statistics,10.0,0.0,2.0,Graduate degree
TX,Male,Right-Handed,Running/Jogging,990.0,November,Water,Physical education,8.0,20.0,1.0,Other
TX,Female,Right-Handed,Other activities/sports,1000.0,February,Soft drink (non-caffeinated),Art,12.0,0.0,0.0,Other
TX,Male,Right-Handed,Running/Jogging,1000.0,October,Water,English,8.0,18.0,6.0,Undergraduate degree
TX,Female,Right-Handed,Swimming,536.0,September,Tea,History,10.0,8.0,4.0,Undergraduate degree
TX,Male,Right-Handed,Athletics (Track & Field),900.0,October,Water,Music,10.0,0.0,5.0,High school
TX,Male,Right-Handed,Football (American),882.0,December,Water,History,5.5,7.0,1.0,Graduate degree
TX,Male,Right-Handed,Other activities/sports,0.0,August,Energy drink,History,9.0,4.0,4.0,Graduate degree
TX,Female,Right-Handed,Dancing,1000.0,May,Water,Social studies,7.0,20.0,2.0,Graduate degree
TX,Male,Right-Handed,Football (American),900.0,November,Water,History,6.0,36.0,2.0,Graduate degree
TX,Male,Right-Handed,Football (American),950.0,January,Water,Mathematics and statistics,13.0,0.0,2.0,Graduate degree
TX,Female,Left-Handed,Tennis,877.0,March,Water,Physical education,9.0,5.0,5.0,Graduate degree
TX,Female,Right-Handed,Baseball/Softball,700.0,April,Soft drink (caffeinated),Other,6.0,20.0,5.0,Graduate degree
TX,Female,Right-Handed,Athletics (Track & Field),700.0,October,Water,Mathematics and statistics,9.0,0.0,4.0,Graduate degree
TX,Female,Right-Handed,Athletics (Track & Field),1000.0,November,Water,English,8.0,0.0,6.0,Graduate degree
TX,Male,Right-Handed,Basketball,50.0,April,Water,Social studies,5.0,0.0,2.0,Graduate degree
TX,Female,Right-Handed,Basketball,937.0,December,Water,Physical education,12.0,0.0,10.0,Graduate degree
TX,Male,Right-Handed,Tennis,900.0,October,Water,Other,8.0,0.0,8.0,Graduate degree
TX,Female,Right-Handed,Other activities/sports,1.0,December,Water,Music,10.0,0.0,3.0,Graduate degree
TX,Female,Right-Handed,Athletics (Track & Field),530.0,May,Soft drink (caffeinated),Mathematics and statistics,8.0,0.0,5.0,Graduate degree
TX,Female,Right-Handed,Dancing,700.0,April,Water,Science,10.0,15.0,2.0,Graduate degree
TX,Female,Right-Handed,Basketball,1000.0,May,Water,Music,5.0,0.0,2.0,Graduate degree
TX,Female,Right-Handed,Basketball,600.0,January,Water,Art,10.0,0.0,1.0,Graduate degree
TX,Female,Right-Handed,Dancing,1000.0,May,Water,Art,11.0,0.0,1.0,Graduate degree
TX,Female,Right-Handed,Dancing,732.0,August,Water,Other,11.0,15.0,1.0,Undergraduate degree
TX,Male,Right-Handed,Basketball,829.0,September,Water,Mathematics and statistics,10.0,0.0,30.0,Graduate degree
TX,Female,Right-Handed,Other activities/sports,900.0,March,Water,Music,5.0,0.0,1.0,High school
TX,Male,Ambidextrous,Martial Arts,637.0,September,Soft drink (non-caffeinated),Computers and technology,9.5,0.3,0.0,Graduate degree
TX,Female,Right-Handed,Basketball,1000.0,February,Powdered drink,Science,4.0,0.0,0.0,Graduate degree
TX,Female,Right-Handed,Other activities/sports,1000.0,April,Soft drink (caffeinated),English,12.0,0.0,4.0,Graduate degree
TX,Male,Right-Handed,Soccer,500.0,November,Water,Physical education,10.0,0.0,6.0,Graduate degree
TX,Female,Right-Handed,Athletics (Track & Field),1000.0,September,Water,English,6.0,20.0,5.0,Graduate degree
TX,Male,Right-Handed,Swimming,250.0,February,Tea,Art,5.0,50.0,1.0,Some college
TX,Female,Right-Handed,Swimming,1000.0,October,Water,English,6.0,20.0,10.0,Graduate degree
TX,Female,Right-Handed,Soccer,1000.0,June,Water,English,9.0,0.0,0.0,Graduate degree
TX,Female,Ambidextrous,Athletics (Track & Field),500.0,June,Water,Science,9.0,0.0,3.0,Graduate degree
TX,Male,Ambidextrous,Soccer,1000.0,September,Water,Mathematics and statistics,10.0,14.0,0.0,Graduate degree
