Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
WA,Female,Right-Handed,Skateboarding/Rollerblading,990.0,March,Water,Art,4.0,12.0,2.0,Graduate degree
WA,Male,Right-Handed,Soccer,187.0,April,Water,Physical education,10.0,0.0,15.0,Some college
WA,Male,Right-Handed,Other activities/sports,150.0,October,Coffee,Music,12.0,5.5,1.5,Some college
WA,Female,Right-Handed,Swimming,342.0,September,Water,English,9.0,0.0,21.0,Graduate degree
WA,Male,Right-Handed,Football (American),900.0,November,Water,History,12.0,0.0,6.0,Other
WA,Female,Right-Handed,Hockey (Ice),800.0,December,Water,History,9.5,1.0,2.0,Graduate degree
WA,Female,Right-Handed,Swimming,300.0,May,Tea,Art,8.0,0.0,3.0,Graduate degree
WA,Female,Left-Handed,Martial Arts,524.0,February,Water,Other,9.0,0.0,1.5,Graduate degree
WA,Male,Right-Handed,Other activities/sports,900.0,April,Water,Physical education,10.0,24.0,4.0,Graduate degree
WA,Male,Right-Handed,Football (American),50.0,December,Water,Physical education,10.0,20.0,1.0,Some college
WA,Male,Right-Handed,Martial Arts,300.0,October,Water,History,12.0,0.0,1.0,Graduate degree
WA,Female,Right-Handed,Swimming,465.0,February,Water,Art,6.0,0.0,2.0,High school
WA,Female,Right-Handed,Soccer,1000.0,March,Soft drink (caffeinated),History,11.0,0.0,0.0,Some college
WA,Female,Right-Handed,Tennis,6.0,June,Water,Physical education,5.0,2.0,1.0,Graduate degree
WA,Male,Right-Handed,Skateboarding/Rollerblading,1000.0,September,Soft drink (caffeinated),Music,9.0,0.0,0.0,Other
WA,Female,Right-Handed,Basketball,1000.0,May,Water,English,6.0,4.0,1.0,Graduate degree
WA,Male,Right-Handed,Football (American),0.0,August,Water,History,11.0,37.5,3.0,Other
WA,Female,Right-Handed,Other activities/sports,0.0,January,Water,English,12.0,4.0,4.0,Some college
WA,Male,Right-Handed,Skateboarding/Rollerblading,5.0,March,Water,Mathematics and statistics,8.0,20.0,2.0,High school
WA,Male,Right-Handed,Football (American),813.0,December,Water,Physical education,9.0,20.0,2.0,Undergraduate degree
WA,Female,Right-Handed,Dancing,529.0,August,Water,Languages,10.0,0.0,10.0,Some college
WA,Male,Right-Handed,Martial Arts,1000.0,April,Soft drink (non-caffeinated),History,10.0,0.0,0.0,High school
WA,Male,Ambidextrous,Soccer,1000.0,September,Soft drink (caffeinated),Art,10.0,0.0,0.0,Graduate degree
WA,Male,Right-Handed,Cycling,503.0,February,Milk,History,14.0,0.0,5.0,Graduate degree
WA,Male,Right-Handed,Soccer,1000.0,October,Water,Geography,5.0,0.0,2.0,Some college
WA,Male,Right-Handed,Golf,600.0,February,Water,Mathematics and statistics,6.0,0.0,1.0,Some college
WA,Female,Right-Handed,Baseball/Softball,2.0,February,Energy drink,History,10.0,4.0,30.0,High school
WA,Male,Right-Handed,Other activities/sports,701.0,May,Water,Other,8.0,20.0,2.0,High school
WA,Male,Right-Handed,Soccer,100.0,November,Soft drink (caffeinated),Mathematics and statistics,10.0,0.0,5.0,Some college
WA,Male,Right-Handed,Basketball,750.0,April,Water,Physical education,8.0,1.0,1.0,Other
WA,Male,Left-Handed,Soccer,508.0,May,Juice,Physical education,12.0,0.0,0.0,Undergraduate degree
WA,Male,Right-Handed,Football (American),500.0,July,Juice,History,9.0,0.0,3.0,Undergraduate degree
WA,Female,Right-Handed,Other activities/sports,829.0,September,Water,History,5.0,0.0,3.0,Other
WA,Female,Right-Handed,Walking/Hiking,10.0,October,Coffee,English,5.0,0.0,9.0,Some college
WA,Female,Right-Handed,Golf,500.0,September,Tea,Mathematics and statistics,8.0,40.0,20.0,Graduate degree
WA,Female,Right-Handed,Walking/Hiking,1000.0,April,Water,Science,10.0,0.0,4.0,Graduate degree
WA,Male,Right-Handed,Swimming,250.0,December,Soft drink (caffeinated),Mathematics and statistics,12.0,0.0,10.0,High school
WA,Female,Left-Handed,Walking/Hiking,1000.0,June,Water,Art,14.0,5.0,7.0,Some college
WA,Male,Left-Handed,Athletics (Track & Field),500.0,October,Energy drink,Other,6.0,1.0,2.0,Undergraduate degree
WA,Female,Right-Handed,Martial Arts,1000.0,April,Water,Art,4.0,20.0,1.0,Graduate degree
