"Region	Gender	Handed	Favourite_physical_activity	Importance_reducing_pollution	Birth_month	Beverage	Favorite_School_Subject	Sleep_Hours_Non_Schoolnight	Paid_Work_Hours	Work_At_Home_Hours	Planned_Education_Level"
"NY	Male	Right-Handed	Skateboarding/Rollerblading	797	February	Tea	Art	12	15	5	Graduate_degree"
"NY	Female	Right-Handed	Swimming	572	November	Water	Geography	12	NA	30	Graduate_degree"
"NY	Male	Right-Handed	Bowling	750	April	Water	Mathematics_and_statistics	6	NA	2	Other"
"NY	Female	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Athletics	1000	July	Water	Physical_education	5	12	5	Undergraduate_degree"
"NY	Female	Right-Handed	Swimming	999	November	Water	Other	12	NA	0	High_school"
"NY	Male	Right-Handed	Soccer	700	June	Sports_drink	Physical_education	9	NA	2	Some_college"
"NY	Male	Right-Handed	Basketball	800	March	Water	Computers_and_technology	9	NA	5	Undergraduate_degree"
"NY	Male	Right-Handed	Basketball	64	March	Water	Computers_and_technology	9	12	1	Graduate_degree"
"NY	Female	Right-Handed	Lacrosse	876	February	Soft_drink_(caffeinated)	Physical_education	7	NA	9	Graduate_degree"
"NY	Male	Right-Handed	Soccer	1000	April	Water	History	8	1	2	Undergraduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	1000	November	Water	Mathematics_and_statistics	8	NA	3	Graduate_degree"
"NY	Male	Right-Handed	Other	893	March	Water	English	9	NA	NA	Undergraduate_degree"
"NY	Female	Right-Handed	None	700	February	Water	English	9	NA	0	Undergraduate_degree"
"NY	Male	Right-Handed	Other	350	April	Water	Mathematics_and_statistics	8	15	1	Graduate_degree"
"NY	Female	Right-Handed	Other	90	April	Water	Science	7	NA	7	Graduate_degree"
"NY	Male	Right-Handed	Basketball	540	April	Tea	Mathematics_and_statistics	7	NA	3	Graduate_degree"
"NY	Female	Ambidextrous	Soccer	1000	July	Water	Art	8	NA	1	Graduate_degree"
"NY	Female	Right-Handed	Gymnastics	780	September	Soft_drink_(caffeinated)	Mathematics_and_statistics	10	NA	3.5	Graduate_degree"
"NY	Female	Right-Handed	Other	500	May	Water	Languages	10	NA	NA	NA"
"NY	Female	Left-Handed	Swimming	85	September	Water	Mathematics_and_statistics	8	10	6	Other"
"NY	Female	Right-Handed	Soccer	800	March	Water	Mathematics_and_statistics	8	NA	3	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	200	August	Water	English	9	NA	0	Graduate_degree"
"NY	Female	Left-Handed	Soccer	1000	February	Water	History	9	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Basketball	1000	December	Other	Mathematics_and_statistics	13	NA	24	Graduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	1000	June	Water	Mathematics_and_statistics	7	6	2	Graduate_degree"
"NY	Male	Right-Handed	Athletics	578	June	Energy_drink	Physical_education	10	NA	NA	NA"
"NY	Male	Right-Handed	Other	1000	April	Water	Mathematics_and_statistics	8	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Other	750	February	Coffee	History	8	NA	2	Graduate_degree"
"NY	Female	Right-Handed	Swimming	0	March	Juice	Mathematics_and_statistics	11	NA	1	Less_than_high_school"
"NY	Male	Right-Handed	Basketball	1000	October	Water	Mathematics_and_statistics	9	NA	3	Other"
"NY	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Walking/Hiking	1000	December	Coffee	Art	11	NA	5	Some_college"
"NY	Female	Right-Handed	Walking/Hiking	717	May	Water	Science	8	NA	6	Graduate_degree"
"NY	Female	Left-Handed	Other	797	January	Water	Physical_education	7	NA	2	Graduate_degree"
"NY	Female	Right-Handed	Gymnastics	500	November	Milk	Art	NA	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Running/Jogging	1000	December	Water	English	9	NA	5	Graduate_degree"
"NY	Female	Right-Handed	Table_Tennis	900	March	Coffee	Art	10	8	2	Graduate_degree"
"NY	Female	Ambidextrous	Soccer	1000	August	Energy_drink	Science	4	NA	0.5	Graduate_degree"
"NY	Female	Left-Handed	Dancing	791	May	Coffee	Mathematics_and_statistics	10	10	2	Graduate_degree"
"NY	Male	Right-Handed	Other	650	September	Water	Physical_education	9	3	0.5	Graduate_degree"
"NY	Male	Right-Handed	Soccer	NA	April	Powdered_drink	NA	8	NA	NA	Some_college"
"NY	Female	Right-Handed	Other	1000	October	Tea	English	10	NA	0	Graduate_degree"
"NY	Female	Right-Handed	None	1000	January	Water	English	6	NA	NA	Some_college"
"NY	Male	Right-Handed	Hockey_(Ice)	550	April	Water	History	11	12	4	Graduate_degree"
"NY	Female	Right-Handed	Hockey_(Ice)	1000	July	Tea	Mathematics_and_statistics	7	NA	2	Less_than_high_school"
"NY	Female	Right-Handed	Running/Jogging	824	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Left-Handed	Skateboarding/Rollerblading	856	October	Tea	Art	10	NA	NA	NA"
"NY	Female	Right-Handed	Other	1000	May	Water	Mathematics_and_statistics	8	NA	4	NA"
"NY	Female	Right-Handed	Hockey_(Field)	765	June	Water	Art	9	12	5	Undergraduate_degree"
"NY	Female	Right-Handed	None	642	February	Water	Science	8	NA	2	Graduate_degree"
"NY	Female	Right-Handed	Cycling	1000	October	Water	Social_studies	9	NA	NA	NA"
"NY	Male	Right-Handed	Martial_Arts	50	October	Water	Mathematics_and_statistics	8	NA	7	Other"
"NY	Male	Right-Handed	Rowing	700	May	Water	History	8	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Football_(American)	NA	October	Sports_drink	Music	NA	10	0	High_school"
"NY	Male	Right-Handed	Soccer	984	March	Water	Social_studies	6.5	NA	1	Graduate_degree"
"NY	Male	Right-Handed	Other	800	January	Water	Physical_education	9	NA	0	Graduate_degree"
"NY	Female	Left-Handed	Soccer	900	June	Water	English	9	NA	4	Undergraduate_degree"
"NY	Female	Right-Handed	Gymnastics	850	May	Water	English	9	NA	0	Graduate_degree"
"NY	Male	Right-Handed	Other	800	September	Water	Other	10	18	0	Graduate_degree"
"NY	Female	Right-Handed	None	100	October	Tea	Computers_and_technology	8	NA	5	Graduate_degree"
"NY	Male	Right-Handed	None	800	March	Water	Science	9	NA	1	Undergraduate_degree"
"NY	Female	Right-Handed	Walking/Hiking	800	January	Water	Mathematics_and_statistics	8	NA	NA	NA"
"NY	Female	Right-Handed	Soccer	500	November	Water	Science	9	5	1	Other"
"NY	Female	Right-Handed	NA	NA	NA	NA	NA	NA	NA	NA	NA"
"NY	Male	Right-Handed	Soccer	706	August	Water	Art	10	NA	1	Undergraduate_degree"
"NY	Female	Right-Handed	Other	100	December	Coffee	Music	6	12	4	Graduate_degree"
"NY	Male	Right-Handed	Football_(American)	700	March	Water	Art	12	NA	8	Graduate_degree"
"NY	Female	Right-Handed	Dancing	700	September	Water	Mathematics_and_statistics	8	NA	14	Graduate_degree"
"NY	Male	Right-Handed	Walking/Hiking	797	November	Coffee	History	7	40	14	Graduate_degree"
"NY	Male	Right-Handed	Basketball	755	August	Juice	Music	NA	NA	1	High_school"
"NY	Male	Right-Handed	Basketball	1	October	Soft_drink_(caffeinated)	Mathematics_and_statistics	6	NA	2	Graduate_degree"
"NY	Female	Right-Handed	Lacrosse	0	March	Soft_drink_(caffeinated)	English	9	25	25	Graduate_degree"
"NY	Male	Right-Handed	Other	1000	November	Soft_drink_(non-caffeinated)	History	9	NA	1	Graduate_degree"
"NY	Male	Left-Handed	Basketball	802	December	Milk	Physical_education	7	NA	2	Graduate_degree"
"NY	Male	Right-Handed	Baseball/Softball	620	June	Soft_drink_(non-caffeinated)	Physical_education	10	14	0	Graduate_degree"
"NY	Male	Right-Handed	Dancing	1000	November	Water	Music	10	NA	2	Undergraduate_degree"
"NY	Female	Right-Handed	Tennis	500	February	Water	Mathematics_and_statistics	10	NA	0	Graduate_degree"
"NY	Female	Right-Handed	Other	1000	January	Water	Mathematics_and_statistics	11	NA	7	Graduate_degree"
"NY	Female	Right-Handed	Swimming	706	September	Milk	Science	9	NA	3	NA"
"NY	Male	Ambidextrous	Athletics	NA	November	Water	Physical_education	10	NA	7	Other"
"NY	Female	Right-Handed	Other	40	May	Other	Mathematics_and_statistics	10	NA	7	Graduate_degree"
"NY	Female	Right-Handed	Skateboarding/Rollerblading	100	November	Water	Physical_education	10	NA	20	Graduate_degree"
"NY	Male	Right-Handed	Soccer	999	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Other	631	June	Milk	English	12	NA	NA	NA"
"NY	Male	Right-Handed	Cycling	900	February	Soft_drink_(non-caffeinated)	History	9	16	2	Graduate_degree"
"NY	Male	Right-Handed	Martial_Arts	500	November	Energy_drink	Other	11	2	0	Graduate_degree"
