Armspan_cm,Height_cm
178.0,182.0
170.0,171.0
176.0,174.0
182.0,180.0
148.0,152.0
180.0,180.0
181.5,180.0
157.0,158.0
162.0,176.0
161.0,158.7
187.0,188.0
173.0,176.0
172.0,172.0
182.0,173.0
154.9,157.5
155.0,162.0
158.0,159.0
144.0,147.0
147.0,140.0
153.0,152.4
168.0,168.0
153.0,153.0
141.0,154.0
172.0,176.0
162.0,162.0
134.0,138.0
158.0,160.0
152.0,157.0
152.0,154.0
120.0,157.2
160.0,162.0
160.0,163.0
165.0,163.0
198.0,190.5
147.0,147.0
159.0,159.0
164.0,168.0
182.8,165.1
162.0,168.0
170.0,167.0
141.0,159.0
173.0,180.0
180.0,182.0
155.0,162.0
172.0,170.0
151.0,163.0
169.0,168.0
160.0,161.0
152.0,213.0
156.0,157.5
152.0,157.5
186.0,176.0
168.0,163.0
192.0,189.0
149.0,148.5
202.0,183.0
176.5,177.0
152.0,154.0
136.0,162.0
198.0,191.0
178.0,180.0
161.0,165.1
182.0,170.0
162.6,164.4
165.0,167.0
167.0,183.0
167.0,163.0
138.0,138.0
184.0,178.0
170.0,170.0
167.0,175.0
193.0,175.2
178.0,173.0
187.0,190.0
172.0,182.0
183.0,180.0
201.0,170.0
162.0,168.0
159.0,164.0
165.0,167.6
177.0,177.0
162.0,168.0
157.0,147.0
179.0,185.0
164.0,166.0
145.0,152.0
151.0,155.0
154.0,151.0
155.0,151.0
161.0,161.0
177.8,172.7
181.0,180.0
160.0,169.0
169.0,169.7
163.0,163.0
170.0,175.0
199.0,186.0
174.0,174.5
184.0,181.0
170.1,170.1
155.0,160.0
144.0,152.0
157.0,155.0
160.0,163.0
161.0,164.0
190.0,178.0
154.0,161.0
172.0,175.0
156.0,159.0
168.0,166.0
167.0,162.0
176.0,169.5
210.0,187.0
137.0,112.0
177.0,170.8
192.0,180.0
120.0,131.0
147.0,170.0
177.0,180.0
187.0,174.0
177.0,178.0
158.0,152.0
178.0,191.0
120.0,156.0
167.0,161.0
168.0,179.0
170.0,170.5
171.0,173.0
160.0,160.0
205.0,180.0
201.0,201.0
186.0,188.0
199.0,189.0
158.0,175.0
132.0,168.0
169.0,165.0
155.0,161.0
150.0,156.0
172.0,173.0
187.0,167.0
160.0,165.0
181.0,170.0
176.0,175.0
174.0,176.0
155.0,160.0
148.0,160.0
152.4,164.5
195.0,196.0
120.0,200.0
205.0,187.0
159.0,158.0
150.0,149.0
174.0,180.0
182.3,185.4
172.0,174.0
170.0,174.0
141.0,160.0
170.0,175.0
168.0,168.0
144.0,153.0
163.0,163.0
171.0,174.0
178.0,163.0
142.9,149.2
