Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2020,12,Male,18.0,Right-Handed,182,27,178,1,Car,12min,0.278,40,Skateboarding/Rollerblading,797,807,717,717,561,561,27,Same length,9,8,Index finger,February,Fall,Yes,No,Meat,Tea,Art,6,12,3,Yes - broadband connection,Internet chat or instant messaging,10,10,24,1,7,12,15,35,3,5,35,20,15.0,5,Some,Graduate degree,,Fly,Happy,Relative,Environment
USA,NY,2017,12,Female,17.0,Right-Handed,171,24,170,3,Rail (Train/Tram/Subway),30,0.454,40,Swimming,572,513,540,684,888,888,24,Same length,90,100,Ring finger,November,Fall,No,No,Pizza/Pasta,Water,Geography,3,12,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",39,114,3,1,6,0,10,0,30,1,50,0,0.0,30,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Friend,Education/Youth development
USA,NY,2023,12,Male,15.0,Right-Handed,174,30,176,1,Bicycle,7,.573,50,Bowling,750,600,700,900,200,750,30,Same length,90,75,Index finger,April,Winter,No,No,Poultry,Water,Mathematics and statistics,7,6,4,Yes - other,Text messaging,10,8,15,5,3,2,1,25,5,1,5,1,0.0,2,,Other,Techno/Electronic,Invisibility,Rich,Other,Other
USA,NY,2020,12,Female,17.0,Right-Handed,151,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,12,Female,17.0,Right-Handed,180,28,182,1,Car,20,.396,50,Athletics,1000,700,700,500,200,300,25,Right foot,76,77,Index finger,July,Summer,Yes,No,Pizza/Pasta,Water,Physical education,7,5,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",20,20,3,10,10,20,50,1,14,5,20,20,12.0,5,Some,Undergraduate degree,Pop,Telepathy,Happy,Relative,Health
USA,NY,2020,6,Female,11.0,Right-Handed,152,28,148,1,Rail (Train/Tram/Subway),30 mi,0.791,42,Swimming,999,998,998,999,0,5,28,Same length,115,120,Ring finger,November,Fall,No,No,Desserts,Water,Other,10,12,4,Yes - other,In person,3,2000,1,.50,3,2,1.5,2,0,0,3,2,0.0,0,Some,High school,Other,Fly,Happy,Relative,"Wildlife, animals"
USA,NY,2023,9,Male,15.0,Right-Handed,180,28.3,180,12,Rail (Train/Tram/Subway),30,.317,42,Soccer,700,500,800,600,300,800,28.3,Same length,75,80,Ring finger,June,Summer,No,No,Meat,Sports drink,Physical education,8,9,3.5,Yes - broadband connection,Text messaging,987,1,8,2,14,10,10,3,20,3,5,10,0.0,2,Some,Some college,Rap/Hip hop,Telepathy,Rich,Sports person,Health
USA,NY,2013,12,Male,17.0,Right-Handed,180,27,181.5,2,Rail (Train/Tram/Subway),45,0.387,34,Basketball,800,850,750,750,900,950,27,Right foot,92,102,Index finger,March,Spring,Yes,No,No favorite,Water,Computers and technology,8,9,4,Yes - broadband connection,In person,0,0,1,0,4,2,20,15,1,0,30,10,0.0,5,Very little,Undergraduate degree,Other,Telepathy,Happy,Sports person,International aid
USA,NY,2022,11,Male,16.0,Right-Handed,,,189,1,Car,15,.432,30,Basketball,64,144,16,48,1000,1000,,,70,70,Same length,March,Summer,Yes,No,Meat,Water,Computers and technology,5,9,6,Yes - other,Text messaging,9,12,7,40,3,2,50,60,51,1,148,1,12.0,1,Some,Graduate degree,Rap/Hip hop,Fly,Famous,Sports person,"Arts, culture, sports"
USA,NY,2017,12,Female,18.0,Right-Handed,158,21,157,2,Rail (Train/Tram/Subway),80,.594,50,Lacrosse,876,561,390,513,53,105,21,Same length,8,8.5,Ring finger,February,Summer,No,No,Pizza/Pasta,Soft drink (caffeinated),Physical education,4,7,4,Yes - dial-up connection,Text messaging,200,187,45,21,22,78,6,1,15,13,15,3,0.0,9,A lot,Graduate degree,Rap/Hip hop,Fly,Healthy,Relative,Education/Youth development
