Region;Gender;Handed;Favourite_physical_activity;Importance_reducing_pollution;Birth_month;Beverage;Favorite_School_Subject;Sleep_Hours_Non_Schoolnight;Paid_Work_Hours;Work_At_Home_Hours;Planned_Education_Level
NY;Male;Right-Handed;Skateboarding/Rollerblading;797;February;Tea;Art;12;15;5;Graduate degree
NY;Female;Right-Handed;Swimming;572;November;Water;Geography;12;0;30;Graduate degree
NY;Male;Right-Handed;Bowling;750;April;Water;Mathematics and statistics;6;0;2;Other
NY;Female;Right-Handed;;;;;;;;;
NY;Female;Right-Handed;Athletics;1000;July;Water;Physical education;5;12;5;Undergraduate degree
NY;Female;Right-Handed;Swimming;999;November;Water;Other;12;0;0;High school
NY;Male;Right-Handed;Soccer;700;June;Sports drink;Physical education;9;0;2;Some college
NY;Male;Right-Handed;Basketball;800;March;Water;Computers and technology;9;0;5;Undergraduate degree
NY;Male;Right-Handed;Basketball;64;March;Water;Computers and technology;9;12;1;Graduate degree
NY;Female;Right-Handed;Lacrosse;876;February;Soft drink (caffeinated);Physical education;7;0;9;Graduate degree
NY;Male;Right-Handed;Soccer;1000;April;Water;History;8;1;2;Undergraduate degree
NY;Female;Right-Handed;Walking/Hiking;1000;November;Water;Mathematics and statistics;8;0;3;Graduate degree
NY;Male;Right-Handed;Other;893;March;Water;English;9;;;Undergraduate degree
NY;Female;Right-Handed;None;700;February;Water;English;9;0;0;Undergraduate degree
NY;Male;Right-Handed;Other;350;April;Water;Mathematics and statistics;8;15;1;Graduate degree
NY;Female;Right-Handed;Other;90;April;Water;Science;7;0;7;Graduate degree
NY;Male;Right-Handed;Basketball;540;April;Tea;Mathematics and statistics;7;0;3;Graduate degree
NY;Female;Ambidextrous;Soccer;1000;July;Water;Art;8;0;1;Graduate degree
NY;Female;Right-Handed;Gymnastics;780;September;Soft drink (caffeinated);Mathematics and statistics;10;0;3,5;Graduate degree
NY;Female;Right-Handed;Other;500;May;Water;Languages;10;;;
NY;Female;Left-Handed;Swimming;85;September;Water;Mathematics and statistics;8;10;6;Other
NY;Female;Right-Handed;Soccer;800;March;Water;Mathematics and statistics;8;0;3;Graduate degree
NY;Female;Right-Handed;Walking/Hiking;200;August;Water;English;9;0;0;Graduate degree
NY;Female;Left-Handed;Soccer;1000;February;Water;History;9;0;1;Graduate degree
NY;Male;Right-Handed;Basketball;1000;December;Other;Mathematics and statistics;13;0;24;Graduate degree
NY;Female;Right-Handed;Walking/Hiking;1000;June;Water;Mathematics and statistics;7;6;2;Graduate degree
NY;Male;Right-Handed;Athletics;578;June;Energy drink;Physical education;10;;;
NY;Male;Right-Handed;Other;1000;April;Water;Mathematics and statistics;8;0;0;Graduate degree
NY;Female;Right-Handed;Other;750;February;Coffee;History;8;0;2;Graduate degree
NY;Female;Right-Handed;Swimming;0;March;Juice;Mathematics and statistics;11;0;1;Less than high school
NY;Male;Right-Handed;Basketball;1000;October;Water;Mathematics and statistics;9;0;3;Other
NY;Male;;;;;;;;;;
NY;Female;;;;;;;;;;
NY;Female;Right-Handed;Walking/Hiking;1000;December;Coffee;Art;11;0;5;Some college
NY;Female;Right-Handed;Walking/Hiking;717;May;Water;Science;8;0;6;Graduate degree
NY;Female;Left-Handed;Other;797;January;Water;Physical education;7;0;2;Graduate degree
NY;Female;Right-Handed;Gymnastics;500;November;Milk;Art;;0;0;Graduate degree
NY;Female;Right-Handed;Running/Jogging;1000;December;Water;English;9;0;5;Graduate degree
NY;Female;Right-Handed;Table Tennis;900;March;Coffee;Art;10;8;2;Graduate degree
NY;Female;Ambidextrous;Soccer;1000;August;Energy drink;Science;4;0;0,5;Graduate degree
NY;Female;Left-Handed;Dancing;791;May;Coffee;Mathematics and statistics;10;10;2;Graduate degree
NY;Male;Right-Handed;Other;650;September;Water;Physical education;9;3;0,5;Graduate degree
NY;Male;Right-Handed;Soccer;;April;Powdered drink;;8;;;Some college
NY;Female;Right-Handed;Other;1000;October;Tea;English;10;0;0;Graduate degree
