Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
"USA,VA,2019,""12        "",Female,17,Right-Handed,172.7,23,172.7,2,Car,5,.384,47,Other,695,230,385,198,733,1000,26,""Left foot"",70,75,""Ring finger"",May,Summer,No,No,Desserts,Water,""Mathematics and statistics"",5,8,3,""Yes - broadband connection"",""Text messaging"","" 200"",400,10,3,30,3,15,0,5,10,4,0,0,1,""A lot"",""Graduate degree"",""Rap/Hip hop"",Fly,Healthy,""Business person"",Health"
"USA,VA,2018,""12        "",Male,17,Right-Handed,173,24,177,1,Car,13,0.30,54,Golf,160,412,385,310,1000,1000,25,""Left foot"",76,71,""Index finger"",December,Winter,No,No,Meat,Water,""Mathematics and statistics"",7,11,4,""Yes - broadband connection"",""Cell phone"",3,4,7,1,8,4,6,0,10,1,50,12,6,3,Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Rich,Relative,""Wildlife, animals"""
"USA,VA,2022,""12        "",Male,17,Right-Handed,178,""23 cm"",175,2,Car,10,0.513,44,Basketball,824,900,555,956,625,825,21,""Right foot"",65,67,""Ring finger"",February,Summer,No,No,Meat,Water,""Computers and technology"",6.5,9,4,""Yes - broadband connection"",""Text messaging"",22,30,4,4,10,2,4,0,5,4,12,2,0,8,""A lot"",""Undergraduate degree"",""Rap/Hip hop"",Telepathy,Rich,Relative,Environment"
"USA,VA,2011,""12        "",Female,16,Right-Handed,160,23,158,1,Car,7,.334,48,None,400,100,400,,700,800,23,""Right foot"",67,67,""Same length"",January,Summer,No,No,""Rice/Noodle dishes"",Tea,Art,8,12,4,""Yes - broadband connection"",""Text messaging"",50,53,10,3,10,20,3,3,10,30,20,35,0,3,Some,""Graduate degree"",Pop,Telepathy,Happy,""Business person"",""International aid"""
"USA,VA,2018,""12        "",Female,17,Right-Handed,165,,,1,Car,35,0.364,30,Dancing,500,800,800,500,500,400,,,,,""Ring finger"",July,Fall,Yes,Yes,Salads,Water,Music,4,8,3,""Yes - other"",""Text messaging"",200,400,2,20,10,0,15,0,5,10,20,0,0,1,""A lot"",""Graduate degree"",Classical,Invisibility,Healthy,""Musician or singer"",""Arts, culture, sports"""
"USA,VA,2021,""12        "",Male,18,Left-Handed,175.2,26.7,200,1,Car,7,0.16,52,Soccer,7,8,9,5,6,9,26.5,""Same length"",7,5,""Index finger"",December,Winter,No,No,Meat,""Soft drink (caffeinated)"",History,5,8,3,""Yes - other"",""Internet chat or instant messaging"",30,15,18,2,4,20,30,24,3,17,10,1,30,1,""A lot"",""Some college"",""Rock and roll"",""Freeze time"",Rich,""Community leader or elder"",""Education/Youth development"""
"USA,VA,2014,""12        "",Male,17,Right-Handed,206,32,82,1,Car,15,0.118,45,Basketball,100,100,100,100,1000,1000,30,""Same length"",10,8,""Index finger"",March,Spring,Yes,No,Meat,""Soft drink (non-caffeinated)"",""Physical education"",6,8,4,""Yes - broadband connection"",""Text messaging"",20,25,2,3,2,8,3,0,5,24,0,3,6,0,""A lot"",""Graduate degree"",""Rap/Hip hop"",Fly,Rich,""Sports person"",Health"
"USA,VA,2018,""11        "",Female,17,Right-Handed,152.4,23,1950,1,Car,25,0.732,49,Lacrosse,8000,8000,8000,8000,5000,6500,24,""Left foot"",80,71,""Index finger"",January,Fall,Yes,No,""No favorite"",Water,History,7,5,4,""Yes - broadband connection"",""Text messaging"",30,20,2,1,10,6,10,5,15,15,7,1,25,5,Some,""Graduate degree"",Other,Invisibility,Happy,Relative,""International aid"""
"USA,VA,2023,""12        "",Female,18,Right-Handed,168,24,164,2,Walk,1800,0.449,42,Other,300,200,200,150,700,750,25,""Left foot"",7.2,7.5,""Ring finger"",December,Winter,Yes,No,Seafood,Water,""Computers and technology"",7,8,3,""Yes - broadband connection"",""Text messaging"",40,56,5,3,20,1,10,2,0,7.5,20,0,0,1,Some,""Graduate degree"",Jazz,""Freeze time"",Rich,""Musician or singer"",""Arts, culture, sports"""
"USA,VA,2014,""12        "",Female,17,Right-Handed,166.4,23,167.6,1,Car,25,.374,51,Gymnastics,100,100,100,100,1000,1000,22.8,""Right foot"",67,70,""Ring finger"",December,Fall,Yes,No,Meat,Tea,Other,7.5,10,3,""Yes - other"",""Text messaging"",50,50,10,2,10,20,5,0,10,5,10,5,30,5,Some,""Undergraduate degree"",Country,Telepathy,Healthy,""Musician or singer"",Health"
