Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,VA,2019,12,Female,16,Right-Handed,166,20,164,1,Car,15,0.45,32.0,Walking/Hiking,1000.0,700.0,800.0,800.0,1000.0,800.0,21,Left foot,80,60,Ring finger,October,Fall,No,No,Rice/Noodle dishes,Water,Science,7,10,5.0,Yes - broadband connection,Text messaging,8,8,0,50,15,0,0,15,70,10,70,0,5.0,10,A lot,Graduate degree,Other,Fly,Happy,Other,Environment
USA,VA,2019,11,Female,15,Right-Handed,160,23,165,2,Bus,16,0.3,40.0,Martial Arts,700.0,300.0,400.0,400.0,800.0,800.0,24,Left foot,84,78,Index finger,October,Fall,No,No,Rice/Noodle dishes,Water,Science,7,9,4.0,Yes - other,Text messaging,30,35,5,3,13,3,5,0,9,2,10,0,0.0,2,Some,Graduate degree,Pop,Telepathy,Happy,Relative,Environment
USA,VA,2014,12,Male,18,Ambidextrous,168,25.4,176,3,Bus,35,0.298,38.0,Martial Arts,900.0,500.0,700.0,900.0,850.0,850.0,26,Left foot,75,80,Ring finger,August,Fall,Yes,No,Pizza/Pasta,Water,Computers and technology,5,3,3.0,Yes - broadband connection,Internet chat or instant messaging,27,29,7,40,3,4,12.5,50,125,125,50,2,20.0,10,A lot,Graduate degree,Other,Telepathy,Happy,Friend,"Arts, culture, sports"
USA,VA,2015,12,Female,17,Right-Handed,160 ,22.89,160,1,Car,10,0.365,41.0,Dancing,733.0,588.0,481.0,43.0,1000.0,1000.0,160,Same length,8,8,Index finger,August,Summer,Yes,No,Pizza/Pasta,Soft drink (caffeinated),English,8,12,3.0,Yes - other,Text messaging,100,200,150,30,5,20,0,0,168,168,150,95,12.0,0,Some,Graduate degree,Techno/Electronic,Invisibility,Rich,Relative,Health
USA,VA,2018,12,Male,18,Right-Handed,165.1,25.4,172.7,0,Car,10,0.26,37.0,Football (American),1000.0,750.0,1000.0,100.0,400.0,400.0,25.4,Same length,100,100,Same length,April,Summer,No,No,Poultry,Water,Computers and technology,9,6,3.0,No internet connection,In person,0,3,168,0.5,0,0,30,10,.05,.05,0,2,0.0,168,A lot,Some college,Other,Super strength,Rich,Friend,Environment
USA,VA,2018,12,Female,17,Right-Handed,167.6,25,81,2,Car,10,0.3,39.0,Walking/Hiking,695.0,701.0,674.0,711.0,1000.0,626.0,24.5,Right foot,88,76,Index finger,August,Fall,Yes,No,Soups,Water,Art,2,10,6.0,Yes - other,Internet chat or instant messaging,7,12,14,1.4,105,4,0,6,2,1,113,2,0.0,3,A lot,Graduate degree,Techno/Electronic,Fly,Happy,Relative,Education/Youth development
USA,VA,2021,12,Female,17,Right-Handed,160cm,25cm,60cm,2,Bus,13,0.544,35.0,Soccer,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,25cm,Same length,13,12,Index finger,June,Summer,No,No,Meat,Water,History,7,5,6.0,Yes - broadband connection,Internet chat or instant messaging,50,70,30,1,3,30,1,0,7,7,4,6,40.0,2,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,Religious
USA,VA,2023,12,Female,18,Right-Handed,161,26,150,2,Walk,576,0.32,44.0,Athletics,4.0,1.0,2.0,3.0,5.0,6.0,27,Left foot,5.5,7,Ring finger,July,Summer,Yes,No,Breads/Sandwiches,Water,Music,7,8,5.0,Yes - broadband connection,Text messaging,50,50,1,1,2,0,1/2,0,1,1/2,0,0,0.0,0,Some,Graduate degree,Jazz,Freeze time,Rich,Teacher,"Arts, culture, sports"
USA,VA,2019,11,Male,16,Right-Handed,164.6,17.78,164.6,2,Bus,25,0.32,32.0,Soccer,1000.0,155.0,1000.0,695.0,37.0,701.0,17.78,Same length,idk,idk,Same length,August,Spring,No,No,Seafood,Tea,Other,4-5,9-10,7.0,Yes - other,Internet chat or instant messaging,200,300,1,6-7,1-2,3-4,0,0,0,6-7,16,2-3,0.0,1,A lot,Some college,Rap/Hip hop,Invisibility,Happy,Other,Religious
USA,VA,2014,11,Male,16,Right-Handed,183,26.5,182,1,Car,15,0.063,46.0,Baseball/Softball,500.0,500.0,500.0,500.0,200.0,200.0,26.5,Same length,84,83,Ring finger,July,Summer,No,No,Poultry,Soft drink (caffeinated),Other,7,4,3.0,Yes - broadband connection,Text messaging,200,202,60,3,0,0,3,0,0,6,0,1,8.0,24,Some,Some college,Country,Super strength,Happy,Teacher,Education/Youth development
