Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,VA,2019,"12        ",Female,16,Right-Handed,166,20,164,1,Car,15,0.45,32,Walking/Hiking,1000,700,800,800,1000,800,21,"Left foot",80,60,"Ring finger",October,Fall,No,No,"Rice/Noodle dishes",Water,Science,7,10,5,"Yes - broadband connection","Text messaging",8,8,0,50,15,0,0,15,70,10,70,0,5,10,"A lot","Graduate degree",Other,Fly,Happy,Other,Environment
USA,VA,2019,"11        ",Female,15,Right-Handed,160,23,165,2,Bus,16,0.3,40,"Martial Arts",700,300,400,400,800,800,24,"Left foot",84,78,"Index finger",October,Fall,No,No,"Rice/Noodle dishes",Water,Science,7,9,4,"Yes - other","Text messaging",30,35,5,3,13,3,5,0,9,2,10,0,0,2,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,Environment
USA,VA,2017,"12        ",Male,17,Right-Handed,177,26,188,1,Car,10,.483,48,Walking/Hiking,1000,797,898,1000,850,904,26,"Same length",85,80,,July,Fall,No,No,Poultry,Milk,,7,9,3,"Yes - broadband connection","Internet chat or instant messaging",15,3,3,0,0,0,1,10,0,0,30,1,0,3,Some,"Undergraduate degree",Techno/Electronic,"Freeze time",Rich,Other,Environment
USA,VA,2014,"12        ",Male,18,Ambidextrous,168,25.4,176,3,Bus,35,.298,38,"Martial Arts",900,500,700,900,850,850,26,"Left foot",75,80,"Ring finger",August,Fall,Yes,No,Pizza/Pasta,Water,"Computers and technology",5,3,3,"Yes - broadband connection","Internet chat or instant messaging",27,29,7,40,3,4,12.5,50,125,125,50,2,20,10,"A lot","Graduate degree",Other,Telepathy,Happy,Friend,"Arts, culture, sports"
USA,VA,2011,"12        ",Female,17,Right-Handed,167.6,22.86,167.6,1,Bus,45,.61,37,Swimming,5,5,5,,1000,1000,23.87,"Left foot",76.2,76.2,"Same length",June,Summer,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)",Music,6,8,5,"Yes - other","Text messaging",0,0,8,3,1,1,0,0,5,24,5,3,0,0,"A lot",Other,"Rap/Hip hop",Invisibility,Rich,Relative,"Arts, culture, sports"
USA,VA,2015,"12        ",Female,17,Right-Handed,"160 ",22.89,160,1,Car,10,.365,41,Dancing,733,588,481,43,1000,1000,160,"Same length",8,8,"Index finger",August,Summer,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)",English,8,12,3,"Yes - other","Text messaging",100,200,150,30,5,20,0,0,168,168,150,95,12,0,Some,"Graduate degree",Techno/Electronic,Invisibility,Rich,Relative,Health
USA,VA,2018,"12        ",Female,17,Right-Handed,157,32,60,1,Bus,30,0.71,42,Athletics,1000,1000,1000,1000,500,1000,32,"Left foot",4,3,"Ring finger",May,Spring,Yes,No,Fruit,Water,Science,,7,7,"Yes - other","Text messaging",10,8,4,1,0,0,14,10,60,70,20,15,0,0,"A lot","High school","Rap/Hip hop",Fly,Happy,Relative,Health
USA,VA,2018,"12        ",Male,18,Right-Handed,165.1,25.4,172.7,0,Car,10,0.26,37,"Football (American)",1000,750,1000,100,400,400,25.4,"Same length",100,100,"Same length",April,Summer,No,No,Poultry,Water,"Computers and technology",9,6,3,"No internet connection","In person",0,3,168,0.5,0,0,30,10,.05,.05,0,2,0,168,"A lot","Some college",Other,"Super strength",Rich,Friend,Environment
USA,VA,2018,"12        ",Female,17,Right-Handed,167.6,25,81,2,Car,10,.3,39,Walking/Hiking,695,701,674,711,1000,626,24.5,"Right foot",88,76,"Index finger",August,Fall,Yes,No,Soups,Water,Art,2,10,6,"Yes - other","Internet chat or instant messaging",7,12,14,1.4,105,4,0,6,2,1,113,2,0,3,"A lot","Graduate degree",Techno/Electronic,Fly,Happy,Relative,"Education/Youth development"
USA,VA,2021,"12        ",Female,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
