Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
"USA,VA,2022,""12        "",Female,18,Right-Handed,169,24,165,1,Car,4,0.38,33,Lacrosse,829,679,406,412,417,791,25,""Left foot"",67,67,""Same length"",September,Fall,Yes,No,Seafood,Water,Science,9,11,6,""Yes - broadband connection"",""In person"",17,52,12,7,5,7,2,0,20,21,0,7,10,3,Some,""Graduate degree"",Pop,Invisibility,Happy,""Doctor or nurse"",Health"
"USA,VA,2018,""11        "",Female,16,Right-Handed,147,21,150,2,Car,35,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,VA,2022,""12        "",Male,14,Right-Handed,165,25,163,2,Bus,25,0.31,45,Athletics,750,800,500,800,1000,1000,24.5,""Right foot"",35,37,""Ring finger"",October,Spring,No,Yes,Pizza/Pasta,Water,Other,8,10,4,""Yes - other"",""Text messaging"",300,550,7,0,14,7,15,0,0,10,10,0,0,3,Some,""Graduate degree"",""Rhythm and blues (R&B)"",Telepathy,,""Business person"",""International aid"""
"USA,VA,2023,""12        "",Male,17,Right-Handed,176,25,72,2,Car,7,0.578,68,Athletics,450,300,250,500,1000,1000,25,""Same length"",90,95,""Ring finger"",July,Winter,No,No,""Rice/Noodle dishes"",Water,Science,7,9,3,""Yes - broadband connection"",""Internet chat or instant messaging"",25,67,10,12,8,8,14,16,10,1,10,0,0,1,""Very little"",""Some college"",Pop,""Super strength"",Rich,""Musician or singer"",Health"
"USA,VA,2018,""12        "",Male,17,Right-Handed,175,22,170,1,Car,10,.36,56,Soccer,500,50,500,650,1000,1000,24,""Left foot"",76,68,""Index finger"",March,Fall,No,No,Poultry,Water,History,7,12,6,""Yes - broadband connection"",""Myspace, Facebook, other social networking sites, or blog"",1,5,3,0,2,2,9,4,3,1,1,3,1,0,""Very little"",""Graduate degree"",""Punk rock"",Telepathy,Famous,""Sports person"",Health"
"USA,VA,2018,""12        "",Female,17,Right-Handed,182.8,27.94,190.5,2,Car,8,.432,40,Other,800,1000,200,500,400,1000,27.94,""Same length"",88.9,88.9,""Same length"",June,Summer,Yes,No,Salads,Water,History,7,10,5,""Yes - other"",""Text messaging"",50,80,9,0,6,150,14,0,14,4,2,4,2,3,Some,""Graduate degree"",Pop,Telepathy,Happy,Relative,Health"
"USA,VA,2019,""12        "",Female,16,Left-Handed,173,21.5,172,1,Car,5,41,0.741,Soccer,700,700,0,200,500,900,21.5,""Same length"",35,35,""Same length"",March,Fall,No,No,""Rice/Noodle dishes"",Water,""Mathematics and statistics"",8,4,2,""Yes - other"",""Text messaging"",10,10,10,1,15,3,7,0,7,1,8,3,0,5,Some,""Graduate degree"",Other,Invisibility,Happy,Relative,""Wildlife, animals"""
"USA,VA,2024,""7         "",Female,13,,169,22,162,1,Bus,15,0.209,42,Lacrosse,300,300,300,67,400,500,23,,76,75,,September,Summer,No,No,Seafood,Water,Languages,8,10,4,""Yes - other"",""Text messaging"",200,217,15,1,2,7,20,1,1,7,1,3,3,3,""A lot"",""Graduate degree"",Country,Telepathy,Happy,Relative,Religious"
"USA,VA,2015,""12        "",Male,17,Right-Handed,194,28,197,2,Bus,35,0.387,53,Walking/Hiking,813,674,711,631,503,749,28,""Same length"",90,80,""Ring finger"",February,Fall,No,No,""No favorite"",Water,English,7,9,4,""Yes - broadband connection"",""In person"",17,18,2,1,7,28,2,0,0,4,6,5,0,4,Some,""Graduate degree"",""Rock and roll"",Invisibility,Happy,Relative,""International aid"""
"USA,VA,2019,""12        "",Male,16,Right-Handed,165.1,20.32,172,1,Other,15,0.409,61,Baseball/Softball,750,750,500,500,750,250,20.32,""Same length"",76.2,88.9,""Ring finger"",November,Fall,No,No,Meat,Water,Art,6,8,3,""Yes - dial-up connection"",""Text messaging"",17,13,1,1,20,10,3,0,0,1,5,0,0,2,Some,""Graduate degree"",""Rock and roll"",Telepathy,Happy,""Musician or singer"",""Arts, culture, sports"""
