Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WA,2019,"10        ",Female,17,Right-Handed,170.1,274.3,,,,,.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2023,"11        ",Female,16,Right-Handed,165.1,23.5,40,2,Walk,15,0.468,32,Skateboarding/Rollerblading,990,999,800,995,700,750,23.8,"Left foot",8,6.5,"Index finger",March,Fall,No,No,Desserts,Water,Art,5,4,6,"Yes - other","Internet chat or instant messaging",55,100,7.5,7,2,5,2,8,8,9,10,6,12,2,"A lot","Graduate degree",Other,Telepathy,Happy,Other,"Wildlife, animals"
USA,WA,2022,"11        ",Male,18,Right-Handed,180cm,29.21,178,1,Car,15,.698,43,"Football (American)",449,444,1000,396,1000,1000,29.21,"Same length",80,90,"Ring finger",March,Fall,Yes,No,Meat,Water,History,8,8,3,"Yes - broadband connection","Internet chat or instant messaging",200,200,40,5,10,25,15,3,24/7,24/7,24/7,5,0,24/7,"A lot","Undergraduate degree",Country,"Freeze time",Happy,"Community leader or elder",Other
USA,WA,2020,"12        ",Female,17,Right-Handed,45.8,45.8,45,2,Bus,35,25,55,Dancing,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2023,"11        ",Male,16,Right-Handed,180,28,66,2,Bus,20,0.08,33,Soccer,187,551,733,1000,588,439,28,"Same length",9,10,"Ring finger",April,Winter,No,No,"Rice/Noodle dishes",Water,"Physical education",6,10,5,"Yes - other","In person",0,8,5,0,0,8,5,20,18,2,3,9,0,15,"A lot","Some college","Rap/Hip hop","Freeze time",Rich,Other,Health
USA,WA,2023,"5         ",Male,11,Right-Handed,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2019,"11        ",Male,18,Right-Handed,180,30,93.98,2,Car,15,0.334,47,Other,150,760,760,650,0,0,30,"Same length",60mm,50mm,"Index finger",October,Summer,No,No,Desserts,Coffee,Music,7.5,12,6,"Yes - broadband connection","In person",4,6,3-4,4-5,5,2-3,0,0,3-4,2-3,2-3,5-6,4-7,1-2,"Very little","Some college","Rock and roll","Super strength",Happy,"Musician or singer","Wildlife, animals"
USA,WA,2019,"12        ",Female,17,Right-Handed,5'6,,,1,Bus,10,0.372,30,None,471,465,465,481,738,1000,,"Same length",,,,October,Winter,No,No,Other,Water,Other,7,10,6,"Yes - broadband connection","Internet chat or instant messaging",60,60,7,2,2,4,0,0,10,10,2,10,0,0,"Very little","Some college","Rap/Hip hop",Invisibility,Rich,Other,Health
USA,WA,2019,"11        ",Female,18,Right-Handed,160,21.6,153,1,Bus,25,0.341,31,Swimming,342,556,118,449,791,513,23,"Right foot",80,83,"Index finger",September,Summer,Yes,No,"Rice/Noodle dishes",Water,English,7,9,4,"Yes - broadband connection","Text messaging",100,100,30,14,19,18,3.5,10,0,55,15,48,0,21,"A lot","Graduate degree",Country,"Freeze time",Rich,Relative,"Wildlife, animals"
USA,WA,2020,"11        ",Female,17,Left-Handed,157,21,165,2,Car,20,.536,51,Other,1000,1000,1000,1000,300,900,,"Same length",73,76,"Ring finger",July,Fall,No,Yes,Vegetables,Water,"Mathematics and statistics",6,10,5,"Yes - broadband connection","Internet chat or instant messaging",28,40,28,3,36,18,12,0,25,19,25,6,25,36,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Other,"International aid"
USA,WA,2020,"12        ",Male,16,Right-Handed,178,27,"160 ",1,Car,10,.35,42,"Football (American)",900,300,1000,700,100,500,26,"Right foot",70,60,"Index finger",November,Winter,No,No,Meat,Water,History,9,12,3,"Yes - broadband connection","Text messaging",IDK,IDK,6,18,8,4,6,20,30,30,80,0,0,6,"A lot",Other,"Rap/Hip hop","Freeze time",Rich,Relative,"Wildlife, animals"
USA,WA,2022,"12        ",Female,17,Right-Handed,160,23.4,156,1,Car,7,0.70,43,None,,,,,,,23.6,"Left foot",,,"Ring finger",June,Summer,Yes,No,"Rice/Noodle dishes",Tea,Science,5,7,6,"Yes - broadband connection","Text messaging",4,12,2,3,2,1,0,2,3,2,4,5,12,1,"A lot","Graduate degree",Other,Telepathy,Happy,Teacher,Environment
